Nome;Ruolo;Quotazione;Squadra
SUCIC P.;C;27;Inter
VERGARA A.;C;27;Napoli
DE ROON M.;C;26;Roma
HUTCHINSON O.;C;26;Milan
LUIS HENRIQUE;C;25;Inter
MESSIAS J.;C;25;Genoa
ODGAARD J.;C;25;Bologna
ZALEWSKI N.;C;25;Atalanta
CALÒ G.;C;24;Frosinone
ELMAS E.;C;24;Atalanta
PIEROTTI S.;C;24;Lecce
GINEITIS G.;C;23;Torino
KARLSTROM J.;C;23;Udinese
MATIC N.;C;23;Sassuolo
MBANGULA S.;C;23;Bologna
PIOTROWSKI J.;C;23;Udinese
RICCI S.;C;23;Como
BRAGANCA D.;C;22;Torino
LUIZ D.;C;22;Juventus
BERISHA M.;C;21;Lecce
CATALDI D.;C;21;Lazio
DIOUF A.;C;21;Inter
FADERA A.;C;21;Cagliari
FERGUSON L.;C;21;Bologna
FRENDRUP M.;C;21;Genoa
GAETANO G.;C;21;Atalanta
MILLA L.;C;21;Como
ADOPO M.;C;20;Cagliari
BALDANZI T.;C;20;Genoa
BRESCIANINI M.;C;20;Fiorentina
COLPANI A.;C;20;Monza
FABBIAN G.;C;20;Parma
KEITA M.;C;20;Parma
MALDINI D.;C;20;Cagliari
POBEGA T.;C;20;Bologna
ZHEGROVA E.;C;20;Juventus
GANDELMAN O.;C;19;Lecce
LIBERALI M.;C;19;Como
MONTEIRO J.;C;19;Lecce
MORO N.;C;19;Bologna
PESSINA M.;C;19;Monza
SCHMID R.;C;19;Frosinone
BASIC T.;C;18;Venezia
COULIBALY L.;C;18;Lecce
INAO OULAI C.;C;18;Fiorentina
SOW D.;C;18;Genoa
STANKOVIC A.;C;18;Inter
DELE-BASHIRU F.;C;17;Lazio
ELLERTSSON M.;C;17;Genoa
FAZZINI J.;C;17;Cagliari
GOMEZ U.;C;17;Udinese
ILKHAN E.;C;17;Torino
MASINI P.;C;17;Frosinone
PEREZ K.;C;17;Venezia
SOHM S.;C;17;Venezia
BUSIO G.;C;16;Venezia
FOLORUNSHO M.;C;16;Monza
JASHARI A.;C;16;Milan
LIPANI L.;C;16;Sassuolo
NICOLUSSI CAVIGLIA H.;C;16;Parma
ROVELLA N.;C;16;Lazio
BELAHYANE R.;C;15;Lazio
CICHELLA M.;C;15;Frosinone
HAINAUT A.;C;15;Venezia
MILLER L.;C;15;Udinese
MUSAH Y.;C;15;Milan
NDOUR C.;C;15;Fiorentina
